X®y¼Ð,Y®y¼Ð
635.55,394.45
510.79,522.44
510.71,501.46
-143.62,529.9
203.6,610.58
386.39,576.08
341.21000000000004,594.15
138.88,570.89
85.81,598.47
150.0,573.0
177.29,563.32
166.57,568.75
166.63,570.75
155.48,567.97
194.16,568.23
206.41,579.18
206.41,579.18
206.41,579.18
206.41,579.18
206.41,579.18
205.01,565.25
193.52,560.26
166.66,571.75
183.06,567.01
155.49,568.97
150.0,590.0
166.63,570.75
172.02,567.56
171.9,564.56
188.39,564.66
177.09,559.32
193.6,561.26
193.36,558.27
188.04,559.67
182.82,563.01
193.52,560.26
193.68,562.25
182.4,556.03
172.02,567.56
193.84,564.25
194.16,568.23
193.84,564.25
193.84,564.25
193.84,564.25
193.84,564.25
193.84,564.25
193.84,564.25
222.35,570.29
224.29000000000002,689.91
183.3,571.0
